i,y,x1
1,5.725919813,2.001
2,5.836219977,2.05
3,5.945922143,2.01
4,6.0559909,2.02
5,6.165409966,2.05
6,6.274344359,2.139
7,6.426366595,1.58
8,6.582700607,2.02
9,6.73887258,2.13
10,6.889315761,2.13
11,7.032315308,2.135
12,7.206322825,2.16
13,7.367051462,2.14
14,7.523751817,2.14
15,7.692078107,2.05
16,7.881905972,1.909
17,8.095321578,1.85
18,8.336591849,1.8
19,8.590136756,1.79
20,8.830576474,1.77
21,9.045764539,1.75
22,9.293358318,1.74
23,9.508683875,1.77
24,9.712745106,1.8
25,9.93689425,1.81
26,10.19863018,1.76
27,10.47834304,1.72
28,10.79139111,1.69
29,11.14096947,1.66
30,11.52654375,1.57
31,11.94817622,1.54
32,12.38832596,1.53
33,12.85932545,1.502
34,13.35444529,1.458
35,13.86728816,1.5
36,14.39317023,1.422
37,14.94063892,1.425
38,15.49794822,1.388
39,16.0606759,1.384
40,16.62235373,1.342
41,17.18037148,1.359
42,17.7031691,1.33
43,18.22646692,1.32
44,18.75494274,1.29
45,19.29354466,1.29
46,19.84677216,1.26
47,20.39357423,1.32
48,20.95762896,1.34
49,21.5566515,1.37
50,22.21502876,1.37
51,22.94219952,1.39
52,23.58728878,1.39
53,24.28678738,1.41
54,25.0093263,1.43
55,25.7054222,1.42
