i,y,x1,x2,
1,5.725919813,2.001,39.7,
2,5.836219977,2.05,36.2,
3,5.945922143,2.01,32.8,
4,6.0559909,2.02,29.7,
5,6.165409966,2.05,27,
6,6.274344359,2.139,24.6,
7,6.426366595,1.58,22.6,
8,6.582700607,2.02,21,
9,6.73887258,2.13,19.6,
10,6.889315761,2.13,18.5,
11,7.032315308,2.135,17.5,
12,7.206322825,2.16,16.5,
13,7.367051462,2.14,15.7,
14,7.523751817,2.14,14.9,
15,7.692078107,2.05,14.1,
16,7.881905972,1.909,13.3,
17,8.095321578,1.85,12.5,
18,8.336591849,1.8,11.8,
19,8.590136756,1.79,11.1,
20,8.830576474,1.77,10.5,
21,9.045764539,1.75,9.9,
22,9.293358318,1.74,9.3,
23,9.508683875,1.77,8.8,
24,9.712745106,1.8,8.3,
25,9.93689425,1.81,7.9,
26,10.19863018,1.76,7.5,
27,10.47834304,1.72,7.1,
28,10.79139111,1.69,6.8,
29,11.14096947,1.66,6.6,
30,11.52654375,1.57,6.4,
31,11.94817622,1.54,6.3,
32,12.38832596,1.53,6.2,
33,12.85932545,1.502,6.1,
34,13.35444529,1.458,6,
35,13.86728816,1.5,5.9,
36,14.39317023,1.422,5.7,
37,14.94063892,1.425,5.5,
38,15.49794822,1.388,5.2,
39,16.0606759,1.384,5,
40,16.62235373,1.342,4.7,
41,17.18037148,1.359,4.5,
42,17.7031691,1.33,4.3,
43,18.22646692,1.32,4.1,
44,18.75494274,1.29,4,
45,19.29354466,1.29,3.9,
46,19.84677216,1.26,3.7,
47,20.39357423,1.32,3.6,
48,20.95762896,1.34,3.5,
49,21.5566515,1.37,3.4,
50,22.21502876,1.37,3.3,
51,22.94219952,1.39,3.2,
52,23.58728878,1.39,3.4,
53,24.28678738,1.41,3,
54,25.0093263,1.43,2.9,
55,25.7054222,1.42,2.8,
,,,,
